Coil whine from the computer scanner.,Electronic Failure,Low,Add to Watch List,77
rattling sounds coming from assembler agents.,Mechanical Failure,Low,No Action Planned,0
Spool bent in the scanner.,Mechanical Failure,Medium,Replace Components,265
fine cracks appearing in the construction of the roller agent.,Mechanical Failure,Low,Add to Watch List,70
Frozen mixing software.,Software Failure,Low,Update Firmware,111
Transport line beginning to part.,Mechanical Failure,Medium,Replace Components,429
Mixer coolant leaking everywhere.,Leak,High,Replace Components,395
Programming has refused to interface with the classifier.,Software Failure,Medium,Update Firmware,112
Black smoke appears when assembler motor is powered on.,Electronic Failure,High,Full Replacement,8100
Controller programming freezes.,Software Failure,Low,Update Firmware,135
Fuse blown in the controller mixer.,Electronic Failure,Low,Replace Components,493
Material spillage in mixer.,Leak,Medium,No Action Planned,0
Assembler occasionally getting jammed.,Mechanical Failure,Low,Add to Watch List,67
The assembler has been showing signs of wear.,Mechanical Failure,Medium,Add to Watch List,50
First product sometimes jammed in sorter spools.,Mechanical Failure,Low,Add to Watch List,54
acute electrical sound heard in the work agent.,Electronic Failure,Low,Add to Watch List,74
Back up blender control supply frazzled.,Electronic Failure,High,Replace Components,400
Collected imperfections appear on the item.,Mechanical Failure,Medium,Readjust Machine,37
Back up assembler power supply burnt out.,Electronic Failure,High,Replace Components,341
Corroded capacitors in constructing agent.,Electronic Failure,High,Replace Components,352
Programming controller refuses to connect to the mixer.,Software Failure,Low,Update Firmware,139
mixer is smoking when operating.,Electronic Failure,High,Replace Components,394
Things come back from assembler split.,Mechanical Failure,Medium,Readjust Machine,42
Some of the electrical sounds discharged in the mixer.,Electronic Failure,Low,Add to Watch List,70
Blender starts and smokes at startup.,Electronic Failure,High,Full Replacement,9000
Mixer leakage of cooling water.,Leak,High,Replace Components,373
Mixer will sometimes overheat.,Electronic Failure,Low,Add to Watch List,70
Things regularly fall into the spool scanner.,Mechanical Failure,Medium,Readjust Machine,45
he robot arm stalls here and there.,Mechanical Failure,Low,Add to Watch List,63
